"codigo","actividad_economica","afecta_iva","categoria"
"472103","Venta al por menor en comercios especializados de frutas y verduras (verdulerías)",,
"472104","Venta al por menor en comercios especializados de pescado, mariscos y productos conexos",,
"472105","Venta al por menor en comercios especializados de productos de panadería y pastelería",,
"472109","Venta al por menor en comercios especializados de huevos, confites y productos alimenticios n.c.p.",,
"472300","Venta al por menor de tabaco y productos de tabaco en comercios especializados",,
"477201","Venta al por menor de productos farmacéuticos y medicinales en comercios especializados",,
"477202","Venta al por menor de artículos ortopédicos en comercios especializados",,
"477203","Venta al por menor de artículos de perfumería, de tocador y cosméticos en comercios especializados",,
"477101","Venta al por menor de calzado en comercios especializados",,
"477102","Venta al por menor de prendas y accesorios de vestir en comercios especializados",,
"475100","Venta al por menor de telas, lanas, hilos y similares en comercios especializados",,
"477103","Venta al por menor de carteras, maletas y otros accesorios de viaje en comercios especializados",,
"474200","Venta al por menor de equipo de sonido y de video en comercios especializados",,
"475901","Venta al por menor de muebles y colchones en comercios especializados",,
"475902","Venta al por menor de instrumentos musicales en comercios especializados",,
"476200","Venta al por menor de grabaciones de música y de video en comercios especializados",,
"475909","Venta al por menor de aparatos eléctricos, textiles para el hogar y otros enseres domésticos n.c.p.",,
"475201","Venta al por menor de artículos de ferretería y materiales de construcción",,
"475202","Venta al por menor de pinturas, barnices y lacas en comercios especializados",,
"475203","Venta al por menor de productos de vidrio en comercios especializados",,
"477393","Venta al por menor de artículos ópticos en comercios especializados",,
"476400","Venta al por menor de juegos y juguetes en comercios especializados",,
"476101","Venta al por menor de libros en comercios especializados",,
"476102","Venta al por menor de diarios y revistas en comercios especializados",,
"476103","Venta al por menor de artículos de papelería y escritorio en comercios especializados",,
"474100","Venta al por menor de computadores, equipo periférico, programas informáticos y equipo de telecom.",,
"476301","Venta al por menor de artículos de caza y pesca en comercios especializados",,
"477392","Venta al por menor de armas y municiones en comercios especializados",,
"476302","Venta al por menor de bicicletas y sus repuestos en comercios especializados",,
"476309","Venta al por menor de otros artículos y equipos de deporte n.c.p.",,
"477394","Venta al por menor de artículos de joyería, bisutería y relojería en comercios especializados",,
"477310","Venta al por menor de gas licuado en bombonas (cilindros) en comercios especializados",,
"477395","Venta al por menor de carbón, leña y otros combustibles de uso doméstico en comercios especializados",,
"477396","Venta al por menor de recuerdos, artesanías y artículos religiosos en comercios especializados",,
"477397","Venta al por menor de flores, plantas, arboles, semillas y abonos en comercios especializados",,
"477391","Venta al por menor de alimento y accesorios para mascotas en comercios especializados",,
"477398","Venta al por menor de mascotas en comercios especializados",,
"475300","Venta al por menor de tapices, alfombras y cubrimientos para paredes y pisos",,
"477399","Venta al por menor de otros productos en comercios especializados n.c.p.",,
"477401","Venta al por menor de antigüedades en comercios",,
"477402","Venta al por menor de ropa usada en comercios",,
"477409","Venta al por menor de otros artículos de segunda mano en comercios n.c.p.",,
"478100","Venta al por menor de alimentos, bebidas y tabaco en puestos de venta y mercados (incluye ferias)",,
"478200","Venta al por menor de productos textiles, prendas de vestir y calzado en puestos de venta y mercados",,
"478900","Venta al por menor de otros productos en puestos de venta y mercados (incluye ferias)",,
"479901","Venta al por menor realizada por independientes en la locomoción colectiva (Ley 20.388)",,
"479902","Venta al por menor mediante máquinas expendedoras",,
"479903","Venta al por menor por comisionistas (no dependientes de comercios)",,
"479100","Venta al por menor por correo, por Internet y vía telefónica",,
"479909","Otras actividades de venta por menor no realizadas en comercios, puestos de venta o mercados n.c.p.",,
"952300","Reparación de calzado y de artículos de cuero",,
"331309","Reparación de otros equipos electrónicos y ópticos n.c.p.",,
"952100","Reparación de aparatos electrónicos de consumo (incluye aparatos de televisión y radio)",,
"952200","Reparación de aparatos de uso doméstico, equipo doméstico y de jardinería",,
"951200","Reparación de equipo de comunicaciones (incluye la reparación teléfonos celulares)",,
"952400","Reparación de muebles y accesorios domésticos",,
"952900","Reparación de otros efectos personales y enseres domésticos",,
"551001","Actividades de hoteles",,
"551002","Actividades de moteles",,
"551003","Actividades de residenciales para turistas",,
"559001","Actividades de residenciales para estudiantes y trabajadores",,
"551009","Otras actividades de alojamiento para turistas n.c.p.",,
"552000","Actividades de camping y de parques para casas rodantes",,
"559009","Otras actividades de alojamiento n.c.p.",,
"562100","Suministro de comidas por encargo (Servicios de banquetería)",,
"562900","Suministro industrial de comidas por encargo; concesión de servicios de alimentación",,
"563009","Otras actividades de servicio de bebidas n.c.p.",,
"491100","Transporte interurbano de pasajeros por ferrocarril",,
"491200","Transporte de carga por ferrocarril",,
"492110","Transporte urbano y suburbano de pasajeros vía metro y metrotren",,
"492120","Transporte urbano y suburbano de pasajeros vía locomoción colectiva",,
"492250","Transporte de pasajeros en buses interurbanos",,
"492130","Transporte de pasajeros vía taxi colectivo",,
